Items,"Santa Marta, Colombia","Iloilo, Phillipines","Valencia, Spain","Tokyo, Japan","Amsterdam, The Netherlands","Dubai, UAE","Hong Kong, China","Miami Beach, Florida","San Francisco, California","Zurich, Switzerland",Items
Housing,300,400,750,1200,1500,1700,2200,1800,2500,2700,Housing
Food,90,120,170,300,250,250,320,320,410,460,Food
Utilities,90,100,140,160,240,160,200,140,220,260,Utilities
Internet,30,30,60,60,80,160,60,60,100,80,Internet
Health Insurance,80,45,40,110,120,110,530,470,490,500,Health Insurance
Transportation,20,20,70,70,150,40,70,40,130,200,Transportation
Gas,120,120,0,0,0,200,0,220,0,0,Gas
Vehicle Insurance,10,25,0,0,0,80,0,260,0,0,Vehicle Insurance
Vehicle Payment,0,0,0,0,0,300,0,300,0,0,Vehicle Payment
Vehicle Maintenence,90,90,30,40,50,150,40,140,50,60,Vehicle Maintenence
Gym Membership,15,15,40,70,50,80,70,80,100,90,Gym Membership
Phone Plan,15,10,40,50,35,140,65,75,75,70,Phone Plan
Monthly Total,860,975,1340,2060,2475,3370,3555,3905,4075,4420,Monthly Total
Yearly Total,10320,11700,16080,24720,29700,40440,42660,46860,48900,53040,Yearly Total
,,,,,,,,,,,
Software Engineer Salary,4300,8500,33000,45600,68600,34000,63300,116000,156000,136000,Software Engineer Salary
Airplane Travel - Round Trip,1100,2100,600,2100,850,900,1200,350,350,1100,Airplane Travel - Round Trip
Maximum Stay (days),180,60,90,90,90,30,90,9999,9999,90,Maximum Stay (days)
Crime Rate Index,46,41,29,24,33,16,22,52,61,17,Crime Rate Index
